country,site_code,site_type,data_collection_date,Year,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,species_scientific_name,Family_name,trophic_group,length_cm,n_individuals,transect_area_sq_m,count_ha,weight_kg,biomass_kg_ha,indicator_species,repeat_sampling_loc,Year_number,notes,information_source
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Lutjanus biguttatus,LUTJANIDAE,,20,10,250,400,0.108877273,43.55090914,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,15,10,250,400,0.071009872,28.40394895,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Scarus spp.,SCARIDAE,Herbivore,20,8,250,320,0.138848599,44.43155164,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Scarus spp.,SCARIDAE,Herbivore,25,7,250,280,0.275791052,77.22149445,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Scarus spp.,SCARIDAE,Herbivore,15,6,250,240,0.057319557,13.75669379,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,20,5,250,200,0.167073418,33.41468363,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,25,4,250,160,0.324439623,51.91033971,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Lutjanus bohar,LUTJANIDAE,,25,2,250,80,0.19671875,15.7375,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Siganus punctatissimus,SIGANIDAE,Herbivore,20,2,250,80,0.156383653,12.51069223,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Siganus corallinus,SIGANIDAE,Herbivore,20,2,250,80,0.145906836,11.67254689,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Monotaxis grandoculis,LETHRINIDAE,,15,2,250,80,0.073244841,5.859587288,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Siganus punctatissimus,SIGANIDAE,Herbivore,15,2,250,80,0.064659067,5.172725339,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Lutjanus bohar,LUTJANIDAE,,30,1,250,40,0.33993,13.5972,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Cephalopholis cyanostigma,SERRANIDAE,,25,1,250,40,0.317487533,12.69950133,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Lutjanus russelli,LUTJANIDAE,,25,1,250,40,0.19941418,7.976567185,TARGET,YES,5,,
