country,site_number,site_code,site_type,data_collection_date,Day,Month,Year,pre_post_campaign,sampling_loc,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,percent_live_coral_cover,percent_soft_coral_cover,percent_algae_cover,percent_other_biota_cover,percent_available_substrate_cover,percent_mobile_substrate_cover,percent_BLK,information_source
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM4R0412,outside,10.06948,124.01902,,,96,0,4,0,0,0,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM4R0511,outside,10.06948,124.01902,,,59,0,28,0,0,13,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM4R0616,TURF,10.06948,124.01902,,,33,0,42,2,0,21,2,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM4R0813,outside,10.06948,124.01902,,,91,0,10,0,0,0,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM4R1214,TURF,10.06948,124.01902,,,49,0,34,1,0,16,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM5F0412,outside,10.06837,124.02346,,,36,0,36,0,1,27,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM5F0511,outside,10.06837,124.02346,,,45,0,17,1,2,36,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM5F0616,TURF,10.06837,124.02346,,,37,1,30,0,0,31,1,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM5F0813,outside,10.06837,124.02346,,,38,0,29,1,1,31,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM5F1214,TURF,10.06837,124.02346,,,36,0,38,2,0,24,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM5R0412,outside,10.06837,124.02346,,,49,2,21,1,0,27,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM5R0511,outside,10.06837,124.02346,,,49,0,21,0,0,29,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM5R0616,TURF,10.06837,124.02346,,,32,0,32,1,0,31,4,
